timestamp,actuator_cmd[0],actuator_cmd[1],actuator_cmd[2],actuator_cmd[3],actuator_cmd[4],actuator_cmd[5],actuator_cmd[6],actuator_cmd[7],actuator_cmd[8],actuator_cmd[9],actuator_cmd[10],actuator_cmd[11],actuator_cmd[12],actuator_cmd[13],actuator_cmd[14],actuator_cmd[15],delta_ts
0,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
200,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
300,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
400,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
600,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
700,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
800,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
900,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
1100,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
1200,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
1300,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
1400,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
1600,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
1700,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
1800,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
1900,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
2000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
2100,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
2200,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
2300,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
2400,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
2500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
2600,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
2700,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
2800,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
2900,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
3000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
3100,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
3200,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
3300,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
3400,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
3500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
3600,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
3700,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
3800,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
3900,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
4000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
4100,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
4200,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
4300,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
4400,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
4500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
4600,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
4700,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
4800,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
4900,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
5000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
5100,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
5200,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
5300,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
5400,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
5500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
5600,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
5700,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
5800,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
5900,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
6000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
6100,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
6200,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
6300,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
6400,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
6500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
6600,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
6700,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
6800,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
6900,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
7000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
7100,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
7200,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
7300,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
7400,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
7500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
7600,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
7700,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
7800,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
7900,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
8000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
8100,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
8200,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
8300,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
8400,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
8500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
8600,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
8700,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
8800,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
8900,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
9000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
9100,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
9200,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
9300,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
9400,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
9500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
9600,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
9700,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
9800,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
9900,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
10000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
10100,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
10200,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
10300,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
10400,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
10500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
10600,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
10700,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
10800,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
10900,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
11000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
11100,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
11200,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
11300,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
11400,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
11500,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
11600,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
11700,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
11800,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
11900,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
12000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
12100,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
12200,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,100
