timestamp,iTOW,year,month,day,hour,min,sec,valid,tAcc,nano,fixType,flags,reserved1,numSV,lon,lat,height,hMSL,hAcc,vAcc,velN,velE,velD,gSpeed,heading,sAcc,headingAcc,pDOP,reserved2,delta_ts
472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,20616,0,0,0,0
572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,20640,0,0,0,100
672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,20664,0,0,0,100
772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,20688,0,0,0,100
872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,20712,0,0,0,100
972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,20736,0,0,0,100
1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,20761,0,0,0,100
1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,20785,0,0,0,100
1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,20809,0,0,0,100
1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,20833,0,0,0,100
1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,20857,0,0,0,100
1572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,20881,0,0,0,100
1672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,20905,0,0,0,100
1774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,20928,0,0,0,102
1872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,20952,0,0,0,98
1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,20976,0,0,0,102
2072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,21000,0,0,0,98
2174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,21024,0,0,0,102
2272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,21048,0,0,0,98
2374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,21071,0,0,0,102
2472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,21095,0,0,0,98
2552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,21110,0,0,0,80
2652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,21134,0,0,0,100
2752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,21158,0,0,0,100
2852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,21181,0,0,0,100
2952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,21205,0,0,0,100
3054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,21228,0,0,0,102
3152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,21252,0,0,0,98
3254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,21275,0,0,0,102
3354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,21299,0,0,0,100
3454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,21322,0,0,0,100
3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,21346,0,0,0,98
3654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,21369,0,0,0,102
3754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,21393,0,0,0,100
3854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,21416,0,0,0,100
3954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,21439,0,0,0,100
4054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,21463,0,0,0,100
4154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17000,0,4294967295,3750000250,0,0,0,0,0,21486,0,0,0,100
